,What PostGIS support,Do we have it?,Supportability Category,Blocking Reason
,"ST_AsTWKB — Returns the geometry as TWKB, aka ""Tiny Well-Known Binary""",Yes,Supported,Current yb_geospatial extension
,ST_AsX3D — Returns a Geometry in X3D xml node element format: ISO-IEC-19776-1.2-X3DEncodings-XML,No,Not 2D (3D/4D architectural gap),3d
,ST_GeoHash — Return a GeoHash representation of the geometry.,No,,
7.10. Operators,,,,
7.10.1. Bounding Box Operators,&& — Returns TRUE if A's 2D bounding box intersects B's 2D bounding box.,Yes,Supported,Current yb_geospatial extension
,"&&(geometry,box2df) — Returns TRUE if a geometry's (cached) 2D bounding box intersects a 2D float precision bounding box (BOX2DF).",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,"&&(box2df,geometry) — Returns TRUE if a 2D float precision bounding box (BOX2DF) intersects a geometry's (cached) 2D bounding box.",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,"&&(box2df,box2df) — Returns TRUE if two 2D float precision bounding boxes (BOX2DF) intersect each other.",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,&&& — Returns TRUE if A's n-D bounding box intersects B's n-D bounding box.,No,,
,"&&&(geometry,gidx) — Returns TRUE if a geometry's (cached) n-D bounding box intersects a n-D float precision bounding box (GIDX).",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,"&&&(gidx,geometry) — Returns TRUE if a n-D float precision bounding box (GIDX) intersects a geometry's (cached) n-D bounding box.",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,"&&&(gidx,gidx) — Returns TRUE if two n-D float precision bounding boxes (GIDX) intersect each other.",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,&< — Returns TRUE if A's bounding box overlaps or is to the left of B's.,No,,
,&<| — Returns TRUE if A's bounding box overlaps or is below B's.,No,,
,&> — Returns TRUE if A' bounding box overlaps or is to the right of B's.,No,,
,<< — Returns TRUE if A's bounding box is strictly to the left of B's.,No,,
,<<| — Returns TRUE if A's bounding box is strictly below B's.,No,,
,#ERROR!,,,
,>> — Returns TRUE if A's bounding box is strictly to the right of B's.,No,,
,@ — Returns TRUE if A's bounding box is contained by B's.,No,,
,"@(geometry,box2df) — Returns TRUE if a geometry's 2D bounding box is contained into a 2D float precision bounding box (BOX2DF).",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,"@(box2df,geometry) — Returns TRUE if a 2D float precision bounding box (BOX2DF) is contained into a geometry's 2D bounding box.",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,"@(box2df,box2df) — Returns TRUE if a 2D float precision bounding box (BOX2DF) is contained into another 2D float precision bounding box.",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,|&> — Returns TRUE if A's bounding box overlaps or is above B's.,No,,
,|>> — Returns TRUE if A's bounding box is strictly above B's.,No,,
,~ — Returns TRUE if A's bounding box contains B's.,No,,
,"~(geometry,box2df) — Returns TRUE if a geometry's 2D bonding box contains a 2D float precision bounding box (GIDX).",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,"~(box2df,geometry) — Returns TRUE if a 2D float precision bounding box (BOX2DF) contains a geometry's 2D bonding box.",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,"~(box2df,box2df) — Returns TRUE if a 2D float precision bounding box (BOX2DF) contains another 2D float precision bounding box (BOX2DF).",No,Architectural mismatch,GiST/BRIN index C-structs (YB uses LSM-trees + geohash)
,~= — Returns TRUE if A's bounding box is the same as B's.,No,,
7.10.2. Distance Operators,<-> — Returns the 2D distance between A and B.,Yes,Supported,Current yb_geospatial extension
,|=| — Returns the distance between A and B trajectories at their closest point of approach.,No,,
,<#> — Returns the 2D distance between A and B bounding boxes.,No,,
,<<->> — Returns the n-D distance between the A and B geometries or bounding boxes,No,,
7.11. Spatial Relationships,,,,
7.11.1. Topological Relationships,"ST_3DIntersects — Tests if two geometries spatially intersect in 3D - only for points, linestrings, polygons, polyhedral surface (area)",No,Not 2D (3D/4D architectural gap),3d
,"ST_Contains — Tests if every point of B lies in A, and their interiors have a point in common",Yes,Supported,Current yb_geospatial extension
,ST_ContainsProperly — Tests if every point of B lies in the interior of A,No,,
,ST_CoveredBy — Tests if every point of A lies in B,No,,
,ST_Covers — Tests if every point of B lies in A,No,,
,"ST_Crosses — Tests if two geometries have some, but not all, interior points in common",Yes,Supported,Current yb_geospatial extension
,ST_Disjoint — Tests if two geometries have no points in common,Yes,Supported,Current yb_geospatial extension
,ST_Equals — Tests if two geometries include the same set of points,Yes,Supported,Current yb_geospatial extension
,ST_Intersects — Tests if two geometries intersect (they have at least one point in common),Yes,Supported,Current yb_geospatial extension
,ST_LineCrossingDirection — Returns a number indicating the crossing behavior of two LineStrings,No,,
,ST_OrderingEquals — Tests if two geometries represent the same geometry and have points in the same directional order,No,,
,"ST_Overlaps — Tests if two geometries have the same dimension and intersect, but each has at least one point not in the other",Yes,Supported,Current yb_geospatial extension
,"ST_Relate — Tests if two geometries have a topological relationship matching an Intersection Matrix pattern, or computes their Intersection Matrix",No,,
,ST_RelateMatch — Tests if a DE-9IM Intersection Matrix matches an Intersection Matrix pattern,No,,
,"ST_Touches — Tests if two geometries have at least one point in common, but their interiors do not intersect",Yes,Supported,Current yb_geospatial extension
,"ST_Within — Tests if every point of A lies in B, and their interiors have a point in common",Yes,Supported,Current yb_geospatial extension
7.11.2. Distance Relationships,ST_3DDWithin — Tests if two 3D geometries are within a given 3D distance,No,Not 2D (3D/4D architectural gap),3d
,ST_3DDFullyWithin — Tests if two 3D geometries are entirely within a given 3D distance,No,Not 2D (3D/4D architectural gap),3d
,ST_DFullyWithin — Tests if a geometry is entirely inside a distance of another,No,,
,ST_DWithin — Tests if two geometries are within a given distance,Yes,Supported,Current yb_geospatial extension
,ST_PointInsideCircle — Tests if a point geometry is inside a circle defined by a center and radius,Yes,Supported,Current yb_geospatial extension
7.12. Measurement Functions,ST_Area — Returns the area of a polygonal geometry.,Yes,Supported,Current yb_geospatial extension
,ST_Azimuth — Returns the north-based azimuth of a line between two points.,Yes,Supported,Current yb_geospatial extension
,"ST_Angle — Returns the angle between two vectors defined by 3 or 4 points, or 2 lines.",No,,
,ST_ClosestPoint — Returns the 2D point on g1 that is closest to g2. This is the first point of the shortest line from one geometry to the other.,No,,
,ST_3DClosestPoint — Returns the 3D point on g1 that is closest to g2. This is the first point of the 3D shortest line.,No,Not 2D (3D/4D architectural gap),3d
,ST_Distance — Returns the distance between two geometry or geography values.,Yes,Supported,Current yb_geospatial extension
,ST_3DDistance — Returns the 3D cartesian minimum distance (based on spatial ref) between two geometries in projected units.,No,Not 2D (3D/4D architectural gap),3d
,ST_DistanceSphere — Returns minimum distance in meters between two lon/lat geometries using a spherical earth model.,Yes,Supported,Current yb_geospatial extension
,ST_DistanceSpheroid — Returns the minimum distance between two lon/lat geometries using a spheroidal earth model.,Yes,Supported,Current yb_geospatial extension
,ST_FrechetDistance — Returns the Fréchet distance between two geometries.,No,,
,ST_HausdorffDistance — Returns the Hausdorff distance between two geometries.,No,,
,ST_Length — Returns the 2D length of a linear geometry.,Yes,Supported,Current yb_geospatial extension
,ST_Length2D — Returns the 2D length of a linear geometry. Alias for ST_Length,No,,
,ST_3DLength — Returns the 3D length of a linear geometry.,No,Not 2D (3D/4D architectural gap),3d
,ST_LengthSpheroid — Returns the 2D or 3D length/perimeter of a lon/lat geometry on a spheroid.,No,,
,ST_LongestLine — Returns the 2D longest line between two geometries.,No,,
,ST_3DLongestLine — Returns the 3D longest line between two geometries,No,Not 2D (3D/4D architectural gap),3d
,ST_MaxDistance — Returns the 2D largest distance between two geometries in projected units.,No,,
,ST_3DMaxDistance — Returns the 3D cartesian maximum distance (based on spatial ref) between two geometries in projected units.,No,Not 2D (3D/4D architectural gap),3d
,"ST_MinimumClearance — Returns the minimum clearance of a geometry, a measure of a geometry's robustness.",No,,
,ST_MinimumClearanceLine — Returns the two-point LineString spanning a geometry's minimum clearance.,No,,
,ST_Perimeter — Returns the length of the boundary of a polygonal geometry or geography.,Yes,Supported,Current yb_geospatial extension
,ST_Perimeter2D — Returns the 2D perimeter of a polygonal geometry. Alias for ST_Perimeter.,No,,
,ST_3DPerimeter — Returns the 3D perimeter of a polygonal geometry.,No,Not 2D (3D/4D architectural gap),3d
,ST_ShortestLine — Returns the 2D shortest line between two geometries,No,,
,ST_3DShortestLine — Returns the 3D shortest line between two geometries,No,Not 2D (3D/4D architectural gap),3d
7.13. Overlay Functions,ST_ClipByBox2D — Computes the portion of a geometry falling within a rectangle.,Yes,Supported,Current yb_geospatial extension
,ST_Difference — Computes a geometry representing the part of geometry A that does not intersect geometry B.,Yes,Supported,Current yb_geospatial extension
,ST_Intersection — Computes a geometry representing the shared portion of geometries A and B.,Yes,Supported,Current yb_geospatial extension
,ST_MemUnion — Aggregate function which unions geometries in a memory-efficent but slower way,No,,
,ST_Node — Nodes a collection of lines.,No,,
,ST_Split — Returns a collection of geometries created by splitting a geometry by another geometry.,No,,
,ST_Subdivide — Computes a rectilinear subdivision of a geometry.,No,,
,ST_SymDifference — Computes a geometry representing the portions of geometries A and B that do not intersect.,Yes,Supported,Current yb_geospatial extension
,ST_UnaryUnion — Computes the union of the components of a single geometry.,No,,
,ST_Union — Computes a geometry representing the point-set union of the input geometries.,Yes,Supported,Current yb_geospatial extension
7.14. Geometry Processing,ST_Buffer — Computes a geometry covering all points within a given distance from a geometry.,Yes,Supported,Current yb_geospatial extension
,ST_BuildArea — Creates a polygonal geometry formed by the linework of a geometry.,No,,
,ST_Centroid — Returns the geometric center of a geometry.,Yes,Supported,Current yb_geospatial extension
,"ST_ChaikinSmoothing — Returns a smoothed version of a geometry, using the Chaikin algorithm",Yes,Supported,Current yb_geospatial extension
